Parameter,$\GEn$,$\GEp$,$\GMp/\mu_p$
$a_0$,0.04891998138,0.2391632981,0.2641429941
$a_1$,-0.06452505391,-1.109858574,-1.095306122
$a_2$,-0.2408258974,1.444380813,1.218553782
$a_3$,0.3921087449,0.4795694656,0.6611364935
$a_4$,0.3004452586,-2.286894742,-1.405678925
$a_5$,-0.6618886872,1.126632985,-1.356418439
$a_6$,-0.1756397697,1.250619844,1.447029155
$a_7$,0.6246917245,-3.631020472,4.235669736
$a_8$,-0.07768429937,4.082217024,-5.334045653
$a_9$,-0.2360039753,0.5040973465,-2.916300521
$a_10$,0.09040197347,-5.085120461,8.707403068
$a_11$,0,3.967742544,-5.706999944
$a_12$,0,-0.9815290711,1.280814376
