Parameter,$\delta \GEn$,$\delta \GEn$,$\delta \GMp/\mu_p$
$B_0$,$-2.07194073  \times 10^{0}$,$-1.97750308  \times 10^{0}$,$-1.76549673  \times 10^{0}$
$B_1$,$1.13809127 \times 10^{0}$,$-4.46566998 \times 10^{-1}$,$1.67218457  \times 10^{-1}$
$B_2$,$1.01431227 \times 10^{0}$,$2.94508717 \times 10^{-1}$,$-1.20542733  \times 10^{0}$
$B_3$,$-3.1330138 \times 10^{-1}$,$1.54467525 \times 10^{0}$,$-4.72244127  \times 10^{-1}$
$B_4$,$-2.73293676 \times 10^{-1}$,$9.05268347 \times 10^{-1}$,$1.41548871  \times 10^{0}$
$B_5$,$2.57350595 \times 10^{-1}$,$-6.00008111 \times 10^{-1}$,$6.61320779  \times 10^{-1}$
$B_6$,$-2.06042113 \times 10^{-1}$,$-1.10732394 \times 10^{0}$,$-8.16422909  \times 10^{-1}$
$B_7$,$-1.68497332 \times 10^{-1}$,$-9.85982716 \times 10^{-2}$,$-3.73804477  \times 10^{-1}$
$B_8$,$1.37784515 \times 10^{-1}$,$4.63035988 \times 10^{-1}$,$2.62223992  \times 10^{-1}$
$B_9$,$7.57591964 \times 10^{-2}$,$1.37729116 \times 10^{-1}$,$1.28886639  \times 10^{-1}$
$B_{10}$,$-2.67511301 \times 10^{-2}$,$-7.82991627 \times 10^{-2}$,$-3.9090151  \times 10^{-2}$
$B_{11}$,$-1.72573088 \times 10^{-2}$,$-3.63056932 \times 10^{-3}$,$-2.44995181  \times 10^{-2}$
$B_{12}$,$7.035815 \times 10^{-4}$,$2.64219326 \times 10^{-3}$,$8.34270064  \times 10^{-4}$
$B_{13}$,$1.47962095 \times 10^{-3}$,$3.13261383 \times 10^{-3}$,$1.88226433  \times 10^{-3}$
$B_{14}$,$1.97375221 \times 10^{-4}$,$3.89593858  \times 10^{-1}$,$2.43073327  \times 10^{-4}$
